deskripsi,komentar,menatap,memegang
Saya pergi dengan teman saya dan seorang anak laki-laki di dalam bus terus menatap payudara kami.,0,1,0
"Catcall, berkomentar, menyentuh, dan lainnya di area tersebut.",1,0,1
Sentuhan,0,0,1
Saya diikuti oleh seorang paman yang memiliki toko di daerah saya,0,0,0
Saya dianiaya oleh seorang guru setelah kelas,0,0,1
Saya berada di taman yang menyenangkan dengan beberapa teman saya. Datanglah seorang pria dan dia menangkap tangan saya. Saya menamparnya.,0,0,1
seorang pria mencoba menyentuh punggung saya saat berjalan di jalan.,1,0,1
Survei ini dilakukan oleh safecity (Red Dot Foundation) bersama dengan audit keamanannya di pasar jalanan di Mumbai.,0,0,1
"Ketika saya kuliah di Bandra, Carter Road, ada banyak mahasiswa yang mengomentari firls sepanjang waktu. Dan mereka bahkan menyentuhnya dan berlari dengan sepeda, ini terjadi hampir setiap hari.",0,1,1
Kejadian ini terjadi ketika bibi saya sedang di bulan rajasthan berlibur bersama keluarga..ketika seorang pria terus menatapnya saat dia berbelanja .. itu membuatnya sedikit ketakutan.,0,1,0
gangguan,1,0,0
Berada di dekat du berarti melihat jenis kerumunan campuran dan salah satu siswa du adalah korban dari beberapa komentar jahat oleh seorang anak laki-laki. bersama teman-temannya gadis itu bisa memberikannya kembali kepada anak laki-laki itu.,1,0,0
"Penjahat biasanya melakukan Chain snatching, commenting dan berbagai aktivitas buruk lainnya.",1,1,0
Pelecehan seksual di pasar dadar,1,0,1
Seorang teman saya dikelompokkan oleh beberapa pria tidak sopan yang mengomentari tubuh saya dengan tidak senonoh.,1,0,0
AUTOS AND RICKSHAW DRIVER ADA KOMENTAR LULUS.,1,1,0
Gambar diambil di dekat ashok vihar.,0,0,0
Menguntit di kota Leh (siang hari),0,0,0
Seorang remaja laki-laki secara terbuka mengundang seorang gadis untuk berhubungan seks dengannya.,0,0,0
itu sangat sering.,0,1,1
2 pria berdiri di dekat kedai teh tepat di sebelah rumah saya dan terus menatap saya setiap kali saya mencuci peralatan di keran di luar.,0,1,0
Ogling / Ekspresi Wajah,0,1,0
Meraba-raba Saket,0,0,1
teman saya dan saya sedang dalam perjalanan pulang kerja. dua pria mulai bersiul dan mengikuti kami. kami takut dan kami berjalan lebih cepat dan mengabaikan mereka. saya memberi tahu ibu saya tentang hal itu yang menyuruh saya untuk mengabaikan mereka dan menghindari masalah lebih lanjut. kami mengambil rute yang berbeda sekarang,0,0,0
terjadi pada pagi hari sebulan yang lalu.,0,0,1
Saya sedang dalam perjalanan ke toko ketika seorang pria di sebelah ropad mulai menelepon saya dan saya mengabaikannya,0,0,0
"Kejadian ini terjadi di sector13, rohini. Saya dan teman saya akan kuliah di pagi hari dan dua anak laki-laki mulai mengomentari kami.",1,0,0
"Ketika saya datang dari desa saya, saya bepergian dengan bus yang penuh sesak di mana seorang anak laki-laki menyentuh seorang gadis secara tidak tepat, dia melakukan ini berkali-kali tetapi gadis itu mengabaikannya. Kemudian seorang bibi datang di antara mereka",0,0,1
Saya sedang berjalan dengan teman saya ketika seorang pria mulai bersiul pada kami.,0,0,0
Seorang pria tertangkap basah mencemarkan seorang pria berusia 10 tahun. Mereka berdua dibawa ke kantor polisi dan keduanya dikurung untuk malam itu termasuk anak berusia 10 tahun itu,0,0,0
"Saya sedang berjalan dan seorang pria bersiul ke arah saya. Saat aku menoleh ke belakang, dia membuat ekspresi aneh tapi aku mengabaikannya.",0,0,0
berada di lift mal dan liftman itu melihat saya dan saya tidak suka cara dia melihat dan saya merasa dilanggar tetapi saya tidak tahu apa yang harus dilakukan.,0,1,0
teman saya tersentuh di dadanya oleh bosnya sendiri MD ......,0,0,1
satu identitas palsu dibuat atas nama saya dan dia biasa mengirim mg unnessary ke orang lain di face book,0,0,0
"Pada hari dalam perjalanan ke sekolah, saya melihat beberapa pria mengikuti seorang wanita dalam perjalanannya ke tempat kerja",0,0,0
Saya diejek oleh sekelompok gadis. Mereka melempar kerikil ke arah saya.,0,0,0
Diikuti,0,0,0
"Saya dan beberapa teman saya sedang bersenang-senang satu sama lain, ketika teman saya memperhatikan bahwa beberapa orang brengsek mengambil foto kami dan membuat video.",0,0,0
dua gadis dilecehkan (dikomentari) oleh seorang anak laki-laki,1,0,0
dekat stasiun metro,0,0,1
sekelompok pria sedang duduk dan saya sedang menyeberang jalan dan seorang pria bersiul,0,0,0
"Saya dan teman-teman saya sedang berjalan-jalan sore secara normal ketika kami bertemu dengan dua pria. Mereka mulai mengikuti kami dan memberikan komentar yang tidak pantas. Ketika kami berteriak minta tolong, mereka menghilang dengan sepeda mereka.",1,0,0
Seorang pria mengedipkan mata padaku dan berteriak bahwa itu adalah calon istrinya,1,1,0
"Kejadian ini terjadi pada malam hari, ada seorang pria paruh baya aneh yang terus mengikuti saya, ekspresi wajah dan kode etiknya sangat tidak tepat.",0,1,0
COmmenting,1,0,0
di malam hari 2 anak laki-laki merebut rantaiku,0,0,0
"Catcall, berkomentar, mengharukan, dan ajakan seksual di metro Rajendra Place di sore hari, begitu tidak tahu malu yang tidak bisa dijelaskan dengan kata-kata.",1,0,1
"rumah teman orang tuaku ada di sana. Saya biasanya pergi ke sana dan selalu di daerah itu, pelecehan yang saya hadapi atau saksikan ini hampir setiap pagi",1,0,0
Mengajukan laporan 1 beberapa hari yang lalu. Bus-bus besar yang menyembunyikannya telah pergi tetapi masih ada van berukuran lebih kecil yang diparkir di samping gedung. Dia ada di sana lagi hari ini sekitar jam 9 malam melakukan hal yang sama. Memanggil penjaga tetapi dia melarikan diri sebelum ada yang bisa dilakukan tentang itu. Bahkan tidak bisa melihat wajahnya.,0,0,0
"Karena jalan Ranganathan adalah jalan yang sangat ramai, ada banyak pria yang sesekali mencoba untuk bersentuhan.",0,0,1
"Saya bepergian dari bus setelah kuliah, saya mendapat kursi dan duduk di atasnya. Bus itu penuh sesak setelah beberapa saat dan seorang pria masuk dan terus-menerus gemetar dan selangkangannya menyentuh lenganku.",0,0,1
Sekelompok orang yang duduk di dalam mobil mengikuti becak dan mencoba berbicara dengan gadis-gadis yang berada di dalam becak tersebut sambil memberikan komentar yang keras.,1,0,0
Saya kembali ke rumah dan ada seorang pria yang berdiri di bawah pohon terus-menerus menatap dan memberikan tatapan aneh.,0,1,0
Disentuh tidak nyaman,0,0,1
kejadian ini terjadi di kendaraan umum. negara itu menderita krisis bahan bakar. Kendaraan umum penuh sesak kakak saya bepergian dengan bus mikro di mana tidak ada ruang untuk meletakkan kaki dia tiba-tiba melihat dan orang tua (sekitar 5560 thn) menyentuh pinggul seorang gadis remaja. saudara perempuan saya tidak mengatakan apapun kepada pria itu. lelaki tua itu secara kronis menyentuh pinggul. gadis yang dilecehkan memperhatikan pria itu dan kembali dia tidak mengatakan apa-apa.,0,0,1
terjadi di sore hari,1,0,0
Seorang teman saya sedang dikomentari saat kembali dari ceritanya.,1,0,0
"guys masturbasi ,. tersinggung",0,0,0
berperilaku buruk,1,0,0
itu sangat buruk.,1,0,1
Saya berada di stasiun metro ketika seorang pria datang dan memukul payudara saya. Saya tidak bisa bereaksi sama sekali.,0,0,1
Mengomentari stasiun metro hauz khas di malam hari.,1,0,0
sentuhan,0,0,1
"Selama pesta dansa hujan, beberapa pria mencoba untuk menyentuh dan memberikan komentar dan mengikuti kami pada malam hari.",1,0,1
"di malam hari, sekelompok anak laki-laki mencoba untuk menyentuh dan memberikan komentar",1,0,0
"Saya berada di bus yang penuh saat ini terjadi. Teman saya dan saya sedang duduk di kursi umum di sisi kiri bus. pria di sebelah teman saya yang duduk di sisi lorong merasakan sesuatu di bahunya. dia berbalik untuk memeriksa apa itu dan ternyata pria dengan ereksinya, bertumpu pada bahunya. Ini terjadi di bus TERBAIK 296",1,1,1
"ini terjadi di kantong maharani pada malam hari. saya dikomentari, komentar kotor.",1,0,0
gangguan,1,1,0
"Pada malam hari, saya berjalan setelah mengantar teman saya ke apartemennya dan menit berikutnya saya tahu seorang pria yang bersemangat memukul pantat saya dan pergi.",0,0,1
perampasan berantai di Najafgarh,0,0,0
"bus, jalanan tidak aman",1,1,1
"Seorang kondektur bus berkomentar dan tiba-tiba dia mencengkeram tangan saya dan menolak untuk pergi, saya mulai menegur dan berteriak.",0,0,1
itu terjadi di sore hari,0,0,0
di malam hari beberapa anak laki-laki mengomentari saya,1,0,1
Saya berada di koloni saya ketika beberapa anak laki-laki datang dan mengomentari sesuatu yang buruk tentang saya,1,0,0
teman saya bepergian dengan bus dia sendirian dan pria yang duduk di depan datang ke sisinya dan mulai mendekat.,0,0,0
Paman saya biasa menunjukkan kepada saya pornografi dan biasa menyentuh saya ketika saya berusia sekitar 510 tahun,0,0,1
Ada dua tiga orang yang berkomentar pada malam hari saat saya bepergian.,1,0,0
Beberapa pria mengatakan kata-kata yang sangat buruk kepada saya dan mengomentari sosok saya. Mereka bahkan memotret saya.,1,1,0
"Saya berdiri di stasiun, menunggu kereta tiba dan saya melihat seorang pria melewati saya. Saya merasa sangat tidak nyaman",0,0,1
"Ekspresi wajah dan menulis nomor ponsel mereka yang tidak perlu di kursi kereta (Ini terjadi ketika saya berada di kereta ke Rajasthan, bukan Stasiun Borivali)",0,1,0
satu orang menyentuh organ seksual saya di kendaraan umum.,0,0,1
laki-laki menyentuh seorang gadis di bus. dia sangat tidak nyaman,0,0,1
beberapa anak laki-laki biasa menggoda seorang gadis dan ini sangat mengganggunya sehingga dia mengubah rute jam dari sana.,0,0,0
"Seorang pria terlalu dekat dengan seorang teman dan saya sendiri dan ketika kami pindah, dia mulai menuduh kami di depan umum bahwa kami pergi ke tempat lain dengan alasan kuliah.",1,0,0
"Pada malam hari (67 sore), adik perempuan saya tersentuh saat kami bepergian dengan becak.",0,0,1
"Beberapa anak laki-laki menyambar rantai seorang wanita di malam hari setelah jam 11 malam setelah kejadian ini, itu telah menjadi rutinitas umum.",1,0,0
Saat itu sekitar jam 5 sore dan orang-orang berkomentar dan membuat ekspresi wajah di dekat Platform rajiv chowk.,1,1,0
Gambar diambil dan komentar disebarkan.,1,0,0
"Kejadian ini terjadi pada siang hari, saya diangkut dengan becak dan dua orang di dalam mobil mengikutinya dan mulai melontarkan komentar-komentar yang tidak senonoh. Bahkan penarik becak tersebut membelokkan becak ke arah yang salah mengikuti isyarat mereka.",1,0,0
malam jam 7 malam,0,0,0
"Saat Mendaki kereta, seorang pria meraba-raba tempat-tempat yang tidak biasa.",1,1,1
"Ketika saya kembali dari toko di malam hari, seorang pria datang dan mulai berbicara dengan saya. dia bercerita tentang penampilan saya dan lainnya. Aku takut.",1,0,0
Dilecehkan oleh pria yang bersepeda,1,1,1
terjadi di pagi hari,1,0,0
Saya berada di dalam bus. seorang anak laki-laki mencoba menyentuh saya dan mencium pipi saya ...,0,0,1
"Setelah Sunset di jalan Juhu Tara, Jalan dari Pantai Juhu ke Linking Road, melewati Hotel Sea Princess menjadi kebanjiran gadis panggilan. Mereka duduk di Auto Rickshaw dan menunggu klien. Mereka memiliki kamar di lapak terdekat, di mana seluruh pengaturan direncanakan dengan baik. Pastinya, polisi sedang merencanakan.",0,0,0
Seorang siswa kelas 6 menggoda siswa kelas 1 di bus sekolah. Dia mengangkat roknya.,0,0,1
Saya ditatap saat saya pergi ke sekolah.,0,1,0
ada seorang pria yang berpura-pura mabuk dan mulai menyentuh bagian pribadi gadis dan dia mengklaim bahwa dia tidak tahu apa yang dia lakukan.,0,0,1
"ketika saya di kelas 8, salah satu teman saya dilecehkan. pada periode terakhir kami salah satu teman sekelas kami sengaja menyentuhnya secara pribadi. Dia menjadi takut dan membaginya dengan saya. kemudian kami komplain guru kami.",0,0,1
di depan rumah bibi saya ada tanah kecil dan sekelompok anak laki-laki berkumpul disana dan merokok dan menggoda anak perempuan dan saya salah satu korban suatu hari saya memutuskan untuk berbagi masalah saya dengan bibi saya dan saya melakukannya dia dan dia mengambil tindakan untuk menghapusnya sekarang saya merasa aman,1,1,0
Seorang wanita sedang berjalan di sepanjang sungai pergi ke toko kosmetik ketika laki-laki yang duduk di sepanjang pevments mulai menatapnya dan meneriakinya dengan sugestif dia mengabaikan memprovokasi mereka.,0,1,0
Di sebuah bar bir setelah itu ditutup dua gadis yang berada di sana dipukul oleh beberapa pria Saat dia menolak untuk pergi bersama mereka.,0,1,1
"Suatu ketika saya bepergian melalui bus (724), Orang itu mabuk amp dia melakukan sentuhan yang buruk.",0,0,1
ketika saya sedang berjalan melalui jalan seorang gadis bertepuk tangan untuk mendapatkan perhatian saya dan mengedipkan satu matanya,0,1,0
"Perampokan berantai pada 20 Agustus 2013 sekitar jam 1030 pagi. Pada hari Rakshabandhan, saya datang dari rumah keponakan saya. Dua orang datang dan mereka merampas rantai seorang wanita.",0,0,0
Disentuh secara tidak tepat selama jam sibuk pagi dan sore hari di stasiun Thane.,0,0,1
Seorang penjual koran terus menatap setiap kali saya lewat di jalan pedder dekat bank India. saya hanya mengabaikannya.,1,1,0
Saya sedang pergi ke pasar ketika sebuah mobil berhenti di sebelah saya dan mengomentari pakaian saya dan meminta saya untuk bergabung dengan mereka,1,0,0
"Saat itu sekitar jam 8 malam, saya kira, gadis muda itu kembali dari sekolah ketika dia turun dari sepeda motor. Saat memasuki cite-nya (asrama), dia ditangkap dan diperkosa oleh tiga pria. Rumor mengatakan bahwa dia diperkosa karena dia menolak berkencan dengan salah satu dari tiga anak laki-laki.",0,0,0
"Beberapa anak laki-laki sekolah sedang duduk di jalan dan kami (2 perempuan dan 2 laki-laki) melewati jalan itu dan kemudian kami mendengar komentar murahan seperti “Arre Pakkad le, chodna mat, chumle, chumlequot (Tangkap mereka, jangan biarkan mereka pergi, cium mereka, cium mereka)",1,0,0
"Suatu hari bibi saya pergi ke pasar, beberapa anak laki-laki mengikutinya.",0,0,0
pemukulan siswa oleh guru.,0,0,0
"dua pengendara motor datang dengan satu sepeda, pria yang duduk di belakang dompet menyambar.",0,0,0
gangguan,1,0,0
pria mengikuti dan mengambil gambar,1,0,0
"Seorang pria menyentuh tangan seorang gadis dan ketika dia memindahkannya, dia menangkap tangannya dan menyeringai.",0,0,1
Beberapa pria memanggil saya nama dan membuat saya tidak nyaman saat saya berjalan,0,0,0
"ketika saya meninggalkan kampus saya, orang-orang itu berkomentar.",0,0,0
itu sangat buruk. dekat ARSD College,1,0,0
"Dengan tetangga saya, saudara perempuan saya yang berusia sekitar 23 tahun dilecehkan secara seksual oleh anak laki-laki yang bekerja di doha, Qatar dengan memposting video pronografis yang tidak diinginkan dan tidak diinginkan di id fb palsunya.",0,0,0
"Teman-teman saya dan saya sedang dalam perjalanan untuk menonton film, beberapa pria bersiul dan menyanyikan lagu-lagu romantis dan murahan di belakang kami.",0,0,0
"Di kerumunan jalan baru, satu orang mencubit dadaku dan pergi. Saya bahkan tidak memperhatikan siapa yang melakukannya.",0,0,1
Teman saya sedang duduk dengan sepupunya dan membaca kitab suci. Gurunya menyentuhnya secara tidak tepat ketika dia pergi untuk duduk di tempatnya.,0,0,1
"Ketika saya sedang berjalan di pinggir jalan, saya melihat beberapa pria membuat komentar buruk pada seorang gadis yang melewati mereka.",1,0,0
"Saya kembali ke rumah lalu ada seorang pria yang berdiri di bawah pohon terus-menerus melihat dan memberikan tatapan aneh. Ketika saya melihat dengan jelas, dia adalah MB dan terus-menerus menatap",0,1,0
menatap,0,1,0
mengambil gambar dan membuat video,0,0,0
"Saya telah mengalami pelecehan seksual dua kali dalam hidup saya, satu kali pada usia 4 tahun dan yang lainnya ketika saya berusia 14 tahun",1,0,1
dilecehkan di malam hari,1,1,1
beberapa kelompok anak laki-laki mencoba menyentuh teman saya ketika dia akan pergi ke pasar,1,0,1
"Peristiwa ini terjadi sekitar bulan Agustus 2013 sore hari (pukul 34.00) di dekat halte di seberang kampus (VIPS, pitampura). Pelancong pun melirik dan bersiul.",0,1,0
anak laki-laki bersiul saat aku berjalan di jalan setapak,0,0,0
anak laki-laki mengikuti anak perempuan ke rumah mereka dan mencoba untuk menyentuh mereka,0,0,0
"Kejadian ini terjadi pada malam hari di dalam DTC Bus 883. Saya sedang bersama seorang teman, ada seorang laki-laki yang pertama kali mencoba untuk menyentuh bagian belakang tubuh teman saya dan setelah itu dia juga mengekspos bagian pribadinya.",0,0,0
Saya berada di bus pergi ke perguruan tinggi duduk di kursi lorong dan seorang pria mulai mengacak-acak selangkangannya di bahu saya.,0,0,1
seseorang mengomentari yang lain sehubungan dengan agama dan kasta.,1,0,0
"suatu pagi teman saya akan kuliah. Di sky bridge Ratnapark, ia bertemu dengan seorang pria yang tiba-tiba merenggut payudaranya. Dan dia pergi seolah tidak ada yang terjadi.",0,1,1
Sekelompok 4 anak laki-laki bersentuhan secara tidak benar terus menerus di jalur bus no. 721 753 821 853.,0,0,1
menyentuh / meraba-raba di Najafgarh,0,0,1
Sekelompok pria datang dan mulai memberikan komentar. Itu terjadi pada sore hari.,1,0,0
"Seorang wanita tua sedang berjalan tiba-tiba 3 pria datang mendorongnya, menyambar keretanya dan menampar lengannya dan melarikan diri",0,0,0
"Seorang pria biasanya mengikuti kami setiap saat, dia menyentuh payudaraku dan melarikan diri",0,0,1
"Ketika saya berangkat kuliah di pagi hari, beberapa orang mulai mengomentari saya.",1,0,0
"Insiden itu terjadi di superstore BhatBhateni, saya melihat seorang gadis berusia sekitar 20 tahun. diikuti oleh seorang pria tua dan dia memberinya masalah.",0,0,0
"Pria itu berdiri di samping saya dan dia menyentuh punggung saya dengan tangannya dan juga melakukan beberapa hal buruk, yang sulit untuk dijelaskan. (Narainaring roadbus)",0,0,1
itu sangat buruk.,1,1,0
menggoda gadis-gadis saat datang dari sekolah,1,0,0
Saat menaiki tangga seseorang menyentuh pantat saya dan meraba punggung saya.,0,0,1
Menyentuh / meraba-raba di pagi hari.,0,0,1
Setelah latihan saya pulang ke rumah dan seorang anak laki-laki dengan sengaja menangkap tangan saya.,0,0,1
berperilaku buruk,0,0,0
satu orang yang benar-benar tidak saya kenal menyentuh tubuh saya dari leher hingga pinggang ...,0,0,1
eve menggoda,1,0,0
"Saya kembali dari pekerjaan dan menggunakan rute laini saba grounds, seorang pria muncul dan datang langsung kepada saya menyatakan menyentuh pantat saya. Ketika melihat orang datang dia lari karena takut akan nyawanya.",0,0,1
"Pada sore hari, ada tiga orang yang awalnya mengikuti saya dan teman saya, kemudian kami melihat mereka mengklik gambar, kami tidak tahu harus berbuat apa, jadi kami meminta seorang pria untuk membantu kami. Dia memberi kami telepon dan kami menghapus semua gambar yang telah mereka ambil.",0,0,0
"Seorang anak laki-laki mulai menyentuh tangan gadis itu dan ketika gadis itu memandang anak laki-laki itu, dia bergerak tetapi setelah beberapa saat dia meraih kedua tangannya dan kemudian menyentuh pantatnya.",0,0,1
Seorang pria mengusap dadaku dengan sikunya.,1,1,1
Saya melihat seorang wanita disentuh di payudaranya dengan paksa oleh seorang pria,0,0,1
beberapa anak laki-laki bersiul pada saya dalam perjalanan dari sekolah,0,0,0
"Saya bersama teman saya, beberapa anak laki-laki berkomentar dan berbicara omong kosong. kami merasa sangat tidak nyaman dan berusaha melarikan diri dari tempat itu secepat mungkin.",1,0,0
"Seluruh bentangan, sedikit lebih cepat dari bioskop, perpanjangan jalur ramchandra sangat tidak aman karena tidak adanya lampu jalan. Seluruh jalan terlalu gelap dan banyak lubang. Selain itu, kehadiran toko minuman keras dan toko rokok di jalan kecil yang menarik perhatian anak laki-laki muda yang duduk dan minum sampai larut malam. Jalur itu juga memiliki permukiman kumuh yang memperburuk keadaan. Penduduk kumuh menambah ketidakamanan jalan.",0,0,0
ekspresi wajah yang dilirik dan aneh oleh seorang pria di dalam mobil yang mampir ketika saya sedang berjalan di jalan,0,1,0
Perilaku tidak pantas di sore hari.,0,0,0
"Saya berada di bar dan mendengar beberapa wanita mendiskusikan bagaimana suatu hari mereka diambil gambar tanpa persetujuan mereka dan kemudian melihat gambar-gambar di grup issup, mereka sangat terkejut.",0,0,0
"Dekat Select City Walk, Seorang autowala yang lewat mengomentari sesuatu dan membuat ekspresi murahan. Itu terjadi di malam hari.",1,0,0
"Ada beberapa anak laki-laki yang dikenal selalu memanggil perempuan dan bersiul kepada mereka, jika tidak merespon mereka akan melontarkan hinaan kepada mereka.",0,0,0
"Saya pergi ke sekolah, jalanan sepi seorang pria mendekati saya. Saya mencoba untuk mengabaikannya tetapi dia mendekati saya dan mencoba menyentuh telinga saya kemudian saya menyadari bahwa itu mencoba merebut anting emas saya. Saya berteriak maling lalu dia lari dari lokasi.",0,0,0
Umum,1,1,1
beberapa pria sembarangan menyentuh payudara teman saya dan melarikan diri saat kami pulang dari sekolah.,0,0,1
"Saya dari sekolah ketika teman saudara laki-laki saya menghentikan saya karena saya mengenalnya, saya berhenti. Lalu dia mencoba menciumku",0,0,1
seorang anak laki-laki dari kelas 3 dilecehkan di depan sekolah dengan melepas pakaiannya.,0,0,0
seorang pria terus memotret teman saya tanpa izinnya setiap hari. dia tidak menanggapi dan memilih untuk mengabaikannya,0,0,0
Saya kehilangan ponsel saya di malam hari di tempat yang ramai seperti itu,0,0,0
seorang pria menyentuh saya dalam perjalanan ke sekolah,0,0,1
Dua orang memberikan komentar yang tidak senonoh. Itu terjadi pada malam hari.,1,0,0
"Saat sore, saat bepergian saya dikomentari karena pakaian yang saya kenakan.",1,0,0
Teman saya ada di halte bus dan beberapa anak laki-laki mulai berkomentar.,1,0,0
"Saya merasa kesal dan tidak aman .. Setelah kejadian itu, saya takut bepergian sendirian setelah kuliah.",0,0,0
"ketika teman saya bepergian melalui mobil berbagi, pria yang duduk di sebelahnya dengan cara yang tidak menyenangkan.",0,0,1
Diuntit selama beberapa hari oleh 2 orang.,0,0,1
"suami saya memukuli saya, tidak hanya di rumah tetapi bahkan di luar. dia seorang pecandu alkohol dan tidak bekerja. dia menghabiskan semua uang hasil jerih payah saya untuk alkohol. ketika saya pergi ke toko untuk membeli bahan makanan, dia membuat tuduhan bahwa saya berselingkuh. Saya telah mengadu ke polisi beberapa kali tetapi mereka tidak membantu saya dan menyuruh saya untuk menyelesaikannya sendiri. saya tinggal di dekat pasar hari rabu.",0,0,0
"Jembatan penyeberangan tidak aman yang menghubungkan borivali timur dan barat Adanya pecandu narkoba di bawah jembatan Adanya unsur anti sosial di jembatan Sangat lengang di luar jam sibuk seperti sore hari dan setelah jam 10 malam Lampu tidak berfungsi Dapat menemukan pecahan botol alkohol, rokok dan kondom berserakan di awal pagi.",0,0,0
"di India ada banyak pemerkosaan berkelompok yang terjadi, tidak ada yang memberi tahu atau menindaklanjuti mereka.",0,0,0
"Catcalls Mengomentari dan ekspresi wajah yang buruk di blok H dari Shastri nagar, RAped seorang gadis usia 5 sampai 6 tahun.",1,1,0
"Pada suatu malam yang menentukan sekitar tiga bulan yang lalu, saya meninggalkan rumah untuk pergi clubbing. Dalam perjalanan, saya diserang oleh sekelompok perampok bersenjata yang melepaskan saya dari ikat pinggang, uang ponsel dan perhiasan evn. Saya dibiarkan terlantar dan terisolasi di jalan yang gelap dan tidak tahu harus berbuat apa.",0,0,0
ada seorang gadis yang selalu diutus oleh seorang pria dan kemudian mendapatkan bayaran dan kemudian dia menyuruh gadis itu untuk tidur dengannya dan tidak memberi tahu siapa pun,0,0,0
tersentuh di persimpangan yang ramai,0,0,1
itu terjadi di malam hari,1,1,1
Teman saya dan saya berada di halte bus ketika seorang lelaki tua menunjukkan alat kelaminnya kepada kami dan berjalan pergi seolah-olah tidak terjadi apa-apa.,1,0,1
"Dia berusia 50 tahun dan dari beberapa tahun terakhir hampir setiap hari dia menjadi korban pelecehan seksual saat bepergian. Sayangnya, dia tidak pernah bisa mengambil tindakan apa pun sejauh ini.",1,1,1
Kejadian ini terjadi di bus Dtc no. 883 di pagi hari.Orang-orang di dalam bus mengomentari dan juga mencoba menemukan alasan untuk menyentuh. Ini sangat sering terjadi.,1,1,1
di stasiun kereta api.,0,0,1
Beberapa orang di antara kerumunan itu mencoba memberikan komentar yang tidak memadai tentang saudara perempuan saya. Itu terjadi pada malam hari.,1,0,0
"ketika saya bepergian dengan bus, saya turun di halte saya dan mulai berjalan menuju rumah saya dua orang datang ke arah saya ketika mereka lewat, mereka membuat komentar murahan",1,1,0
"Menyentuh, jalan-jalan malam tidak terasa aman",0,0,1
"pada malam hari, saya berada di dalam bus dan saya melihat sebuah insiden terjadi di sana terkait perampasan ponsel.",0,0,0
seorang kolega saya ditekan secara emosional oleh bosnya untuk melakukan hubungan seksual dengannya,0,0,1
"Saya biasa mengunjungi perguruan tinggi, setiap hari dengan kendaraan saya sendiri dan saya menghadapi komentar, paparan tidak senonoh setiap hari dan setelah 600 itu cukup berisiko untuk bepergian dengan bus dan sebagainya",1,0,0
di malam hari seorang pria mencoba untuk menyentuh seorang gadis,0,0,1
"Mengambil keuntungan dari kerumunan, banyak orang mencoba mengklik gambar saya saat saya mengenakan saree pada malam hari. .",0,1,0
"Itu dimulai suatu hari di kampus di mana kami mengadakan malam sosial budaya di kampus. Saya dipanggil oleh sekelompok gadis dan mereka meminta saya untuk memberi mereka uang, kemudian saya menolak dan mereka kemudian menampar saya dan melepas pakaian saya dan melakukan sesuatu jelek bagiku.",0,0,0
ogling / ekspresi wajah,0,1,0
"Itu terjadi di luar pintu belakang kampus lady shri ram, lajpat nagar pada pagi hari tanggal 10/01/2011, saya berjalan ke kampus dan diraba-raba dalam perjalanan.",0,0,1
Ketika saya tidak memberikan tip yang cukup besar kepada sopir taksi saya untuk membawa tas saya (dia mengambil ini sendiri) dia memutuskan untuk mengambil payudara kanan saya sebagai gantinya.,0,0,1
"Teman saya menyaksikan kejadian ini di stasiun kereta api lokal di tempat yang ramai. dia sedang menungguku dan dia menyadari seorang pria yang berdiri di belakangnya mencoba ejakulasi di bajunya dari belakang. Saat dia menyadari ini, dia berbalik dan memukulnya dengan keras, pria itu mendorongnya kembali dan melarikan diri.",0,0,1
Sekelompok pria mencoba menyentuh dan meraba-raba teman saya,0,0,1
Beberapa orang melihat saya dan menyanyikan lagu-lagu saat saya dalam perjalanan ke pasar.,0,0,0
ada seorang pria di lingkungan saya yang menculik gadis-gadis dan memperkosa mereka. salah satu korban mengatakan bahwa dia dibawa pergi dan dibuang,0,0,0
Seorang pria membantu saya dengan memberikan tumpangan saat hujan. Kemudian sebelum sampai ke kibera dia mulai menyentuh paha dan bagian pribadi saya.,1,0,1
"Seorang teman saya diserang dan diperkosa oleh beberapa orang bersenjata, itu terjadi ketika dia kembali dari gereja dan saat itu agak gelap di malam hari, orang-orang ini berdiri di jalan dan tiba-tiba gadis ini merasakan ketukan di bahunya",0,0,0
"Saya datang ke delhi dari dehradun dengan bus malam. Saya biasanya bepergian di malam hari untuk menghemat waktu di siang hari. saya telah meminta untuk memberikan kursi di sisi saya hanya untuk seorang wanita, tetapi sayangnya seorang pria datang ke sana. pada malam hari sekitar jam 3 sore, hampir semua orang di bus sudah tidur. aku juga setengah tidur. Saya merasakan sebuah tangan mendekati paha bagian dalam saya dan kemudian menyentuh bagian pribadi saya. Aku segera berdiri dan mulai berteriak agar orang-orang bisa bangun dan melihat apa yang baru saja dilakukan si bajingan itu padaku. tapi sayangnya, tidak ada yang bergerak sedikit pun, mereka membuka mata tapi tidak melakukan apa-apa. bahkan tidak bertanya padaku apa yang terjadi. kemudian saya pergi ke kondektur dan memintanya untuk mengganti tempat duduk saya. saya akhirnya mendapat kursi kondektur saja dan tidak bisa tidur sepanjang malam. saya terus memikirkannya selama berhari-hari dan sampai hari ini saya merasa ingin memberikan pukulan keras di wajahnya.",0,0,1
"ketika saya sedang berjalan di jalan, anak laki-laki mengomentari gaya rambut dan penampilan saya.",1,0,0
mengintai dalam perjalanan ke sekolah,0,0,0
Anak laki-laki yang memutar video di dekat Gereja selalu berusaha memikat gadis-gadis sekolah untuk berhubungan seks dengan mereka.,0,0,0
